transcript_id	gene_id	rci_consensus	n_cell_lines	sign_agreement
ENST00000294715	ENSG00000232527	1.4763764056491433	8.0	0.75
ENST00000307533	ENSG00000170846	0.046281275477904366	13.0	0.5384615384615384
ENST00000314957	ENSG00000177738	0.8286270661178772	4.0	0.75
ENST00000317114	ENSG00000177337	-1.9946677152700538	13.0	1.0
ENST00000318186	ENSG00000180769	0.7995984223719419	2.0	1.0
ENST00000324446	ENSG00000176728	-7.46352437327118	1.0	1.0
ENST00000326677	ENSG00000177410	1.816267714435607	15.0	1.0
ENST00000329743	ENSG00000185837	-0.4089629848691596	3.0	0.6666666666666666
ENST00000330825	ENSG00000170919	-5.766800823706969	13.0	1.0
ENST00000331787	ENSG00000176728		0.0	
ENST00000333145	ENSG00000189223	1.8236567343867047	7.0	0.7142857142857143
ENST00000334146	ENSG00000186594	1.502119521694903	6.0	0.8333333333333334
ENST00000335142	ENSG00000186615	-0.3156706810373984	8.0	0.625
ENST00000335648	ENSG00000249087	-3.9883436687365093	12.0	1.0
ENST00000355430	ENSG00000196167	-1.762030931548114	1.0	1.0
ENST00000355837	ENSG00000196295	-4.4709578720183245	11.0	1.0
ENST00000356684	ENSG00000198468	-1.3923174227787605	1.0	1.0
ENST00000359074	ENSG00000174365	2.8012804076479196	15.0	1.0
ENST00000359941	ENSG00000182165	1.4787381434590796	15.0	0.8
ENST00000360485	ENSG00000251301	-0.09107409480271829	1.0	1.0
ENST00000360737	ENSG00000197182	-6.558845848100351	11.0	1.0
ENST00000366187	ENSG00000231312	-1.5618788876081149	3.0	0.6666666666666666
ENST00000366234	ENSG00000179818		0.0	
ENST00000366287	ENSG00000240401		0.0	
ENST00000366446	ENSG00000223482	-0.5822513362136821	14.0	0.6428571428571429
ENST00000367477	ENSG00000233452	-1.7494565383494032	1.0	1.0
ENST00000369605	ENSG00000203875	0.018072035862665786	15.0	0.6
ENST00000370535	ENSG00000203930	-0.9190800046164326	1.0	1.0
ENST00000371743	ENSG00000177410	0.6635746410536864	14.0	0.7857142857142857
ENST00000377977	ENSG00000204929		0.0	
ENST00000377989	ENSG00000168405	-2.0800429587374296	4.0	1.0
ENST00000377993	ENSG00000168405	-0.8960490359610916	3.0	1.0
ENST00000379050	ENSG00000170919	-4.87320746935223	9.0	1.0
ENST00000381051	ENSG00000197182	-1.7734472299438182	10.0	0.9
ENST00000383461	ENSG00000206417		0.0	
ENST00000392176	ENSG00000273018	-7.091623837433881	8.0	1.0
ENST00000392929	ENSG00000224043	-0.2707304310422849	2.0	0.5
ENST00000394864	ENSG00000227540	-3.1064320778169288	9.0	1.0
ENST00000395172	ENSG00000177335	2.01435529297707	1.0	1.0
ENST00000395539	ENSG00000224281	1.4444812771713254	1.0	1.0
ENST00000397551	ENSG00000214106	-2.477174694799902	2.0	1.0
ENST00000398043	ENSG00000214293	-0.6060193129734087	15.0	0.9333333333333333
ENST00000398460	ENSG00000214548	-5.008705380882858	4.0	1.0
ENST00000398461	ENSG00000214548	-5.7264414710020075	7.0	1.0
ENST00000398474	ENSG00000214548	-4.850126217615183	4.0	1.0
ENST00000398518	ENSG00000214548		0.0	
ENST00000399206	ENSG00000214900		0.0	
ENST00000399387	ENSG00000186960		0.0	
ENST00000399540	ENSG00000215067	-2.228687827867927	15.0	0.9333333333333333
ENST00000399541	ENSG00000215067	2.2441259432837293	5.0	1.0
ENST00000399543	ENSG00000215068	-3.1948248546645033	10.0	1.0
ENST00000399886	ENSG00000215256		0.0	
ENST00000400178	ENSG00000215386		0.0	
ENST00000400436	ENSG00000174365	-4.133393270347451	14.0	1.0
ENST00000409526	ENSG00000222020	-6.740137770791719	2.0	1.0
ENST00000411429	ENSG00000179818		0.0	
ENST00000411526	ENSG00000214106	-0.48996598678540954	7.0	0.7142857142857143
ENST00000411721	ENSG00000229956		0.0	
ENST00000411728	ENSG00000231170		0.0	
ENST00000411861	ENSG00000130600	0.39970691244767675	6.0	0.5
ENST00000412224	ENSG00000186615	-0.045389972189437626	12.0	0.5
ENST00000412640	ENSG00000234899		0.0	
ENST00000412669	ENSG00000223969	1.8895608782603204	2.0	1.0
ENST00000412736	ENSG00000214548	-4.611718676513563	4.0	1.0
ENST00000412788	ENSG00000130600	0.8706514521771913	7.0	1.0
ENST00000412946	ENSG00000170919	-2.9754219772793338	1.0	1.0
ENST00000412986	ENSG00000204929		0.0	
ENST00000413029	ENSG00000222020	-1.476149013582231	1.0	1.0
ENST00000413069	ENSG00000179818		0.0	
ENST00000413076	ENSG00000235703		0.0	
ENST00000413405	ENSG00000224597	-1.6040713236688608	1.0	1.0
ENST00000413421	ENSG00000229956		0.0	
ENST00000413436	ENSG00000179818	-1.0926956905968328	2.0	1.0
ENST00000413479	ENSG00000227028		0.0	
ENST00000413645	ENSG00000215386	-2.766785883049841	2.0	1.0
ENST00000413722	ENSG00000223482	-1.8895523189820165	15.0	0.8666666666666667
ENST00000413791	ENSG00000179818	-2.403124177735343	7.0	1.0
ENST00000413898	ENSG00000168405		0.0	
ENST00000413945	ENSG00000233237		0.0	
ENST00000413961	ENSG00000223482		0.0	
ENST00000413962	ENSG00000224043	1.6691085069210745	5.0	0.8
ENST00000413975	ENSG00000233008		0.0	
ENST00000414002	ENSG00000203875	2.073109683897085	15.0	1.0
ENST00000414006	ENSG00000226688	-0.8263332382442461	8.0	0.625
ENST00000414209	ENSG00000225470	-0.19486290319221453	15.0	0.5333333333333333
ENST00000414386	ENSG00000234753	0.7079658727168338	10.0	0.6
ENST00000414393	ENSG00000213742	-3.992539147030162	14.0	1.0
ENST00000414457	ENSG00000224597	-0.8910656284468358	5.0	1.0
ENST00000414488	ENSG00000225746	-4.101938163766219	3.0	1.0
ENST00000414600	ENSG00000234899		0.0	
ENST00000414676	ENSG00000225377	0.531907783835035	15.0	0.7333333333333333
ENST00000414722	ENSG00000177640		0.0	
ENST00000414768	ENSG00000229694		0.0	
ENST00000414790	ENSG00000130600	0.8138197912368623	7.0	0.7142857142857143
ENST00000414797	ENSG00000234456	1.1594405157085261	7.0	0.8571428571428571
ENST00000414811	ENSG00000204929		0.0	
ENST00000415033	ENSG00000235903	-0.5208321633014404	1.0	1.0
ENST00000415060	ENSG00000179818		0.0	
ENST00000415124	ENSG00000233223	1.4983556813011383	10.0	1.0
ENST00000415215	ENSG00000225470	1.0256661594597907	2.0	1.0
ENST00000415222	ENSG00000179818	0.5563933485243854	1.0	1.0
ENST00000415246	ENSG00000237773		0.0	
ENST00000415503	ENSG00000236540		0.0	
ENST00000415520	ENSG00000223884		0.0	
ENST00000415561	ENSG00000237298		0.0	
ENST00000415584	ENSG00000231999	-0.8073549220576042	1.0	1.0
ENST00000415590	ENSG00000225383	1.9290640931890546	1.0	1.0
ENST00000415640	ENSG00000231312	-6.505528033226751	1.0	1.0
ENST00000415742	ENSG00000179818		0.0	
ENST00000415780	ENSG00000229956	7.1649069266756875	1.0	1.0
ENST00000415959	ENSG00000230417		0.0	
ENST00000415965	ENSG00000223969	-7.060695931687554	3.0	1.0
ENST00000416022	ENSG00000226696	-3.3097276412818353	15.0	0.9333333333333333
ENST00000416068	ENSG00000179818	7.5584207132686645	1.0	1.0
