experiment	biosample	cell_line	file	href	assembly	genome_annotation	fraction
ENCSR000CPO	Homo sapiens GM12878 nuclear fraction	GM12878	ENCFF581QEK	https://www.encodeproject.org/files/ENCFF581QEK/@@download/ENCFF581QEK.tsv	GRCh38	V29	nucleus
ENCSR000CPO	Homo sapiens GM12878 nuclear fraction	GM12878	ENCFF740RLG	https://www.encodeproject.org/files/ENCFF740RLG/@@download/ENCFF740RLG.tsv	GRCh38	V29	nucleus
ENCSR000CPO	Homo sapiens GM12878 nuclear fraction	GM12878	ENCFF812UDN	https://www.encodeproject.org/files/ENCFF812UDN/@@download/ENCFF812UDN.tsv	GRCh38	V29	nucleus
ENCSR000CPO	Homo sapiens GM12878 nuclear fraction	GM12878	ENCFF063DIU	https://www.encodeproject.org/files/ENCFF063DIU/@@download/ENCFF063DIU.tsv	GRCh38	V29	nucleus
ENCSR061SFU	Homo sapiens HepG2 nuclear fraction	HepG2	ENCFF906CSU	https://www.encodeproject.org/files/ENCFF906CSU/@@download/ENCFF906CSU.tsv	GRCh38	V29	nucleus
ENCSR061SFU	Homo sapiens HepG2 nuclear fraction	HepG2	ENCFF454VRB	https://www.encodeproject.org/files/ENCFF454VRB/@@download/ENCFF454VRB.tsv	GRCh38	V29	nucleus
ENCSR061SFU	Homo sapiens HepG2 nuclear fraction	HepG2	ENCFF832MBL	https://www.encodeproject.org/files/ENCFF832MBL/@@download/ENCFF832MBL.tsv	GRCh38	V29	nucleus
ENCSR061SFU	Homo sapiens HepG2 nuclear fraction	HepG2	ENCFF438DJA	https://www.encodeproject.org/files/ENCFF438DJA/@@download/ENCFF438DJA.tsv	GRCh38	V29	nucleus
ENCSR067UNX	Homo sapiens HT1080 nuclear fraction	HT1080	ENCFF919HMM	https://www.encodeproject.org/files/ENCFF919HMM/@@download/ENCFF919HMM.tsv	GRCh38	V29	nucleus
ENCSR067UNX	Homo sapiens HT1080 nuclear fraction	HT1080	ENCFF954RAN	https://www.encodeproject.org/files/ENCFF954RAN/@@download/ENCFF954RAN.tsv	GRCh38	V29	nucleus
ENCSR067UNX	Homo sapiens HT1080 nuclear fraction	HT1080	ENCFF223HZP	https://www.encodeproject.org/files/ENCFF223HZP/@@download/ENCFF223HZP.tsv	GRCh38	V29	nucleus
ENCSR067UNX	Homo sapiens HT1080 nuclear fraction	HT1080	ENCFF901KKF	https://www.encodeproject.org/files/ENCFF901KKF/@@download/ENCFF901KKF.tsv	GRCh38	V29	nucleus
ENCSR530NHO	Homo sapiens K562 nuclear fraction	K562	ENCFF523WII	https://www.encodeproject.org/files/ENCFF523WII/@@download/ENCFF523WII.tsv	GRCh38	V29	nucleus
