gene_id	tissueA	tissueB	dom_isoform_A	dom_isoform_B	n_diff_regions	diff_bp	a	b	rci_a	rci_b	agree_a	agree_b	ncl_a	ncl_b	delta_rci	cs	alu_a	alu_b	len_a	len_b	alu_diff	len_diff	group
ENSG00000266903.1	Brain - Cerebellar Hemisphere	Liver	ENST00000591312.1	ENST00000590796.1	6	961	ENST00000591312	ENST00000590796	-0.0728788799170958	-3.874469117916141	0.5714285714285714	1.0	7.0	3.0	-3.801590237999045	False	0.0	0.0	752	829	0.0	77	concordant
ENSG00000266903.1	Brain - Frontal Cortex (BA9)	Liver	ENST00000591312.1	ENST00000590796.1	6	961	ENST00000591312	ENST00000590796	-0.0728788799170958	-3.874469117916141	0.5714285714285714	1.0	7.0	3.0	-3.801590237999045	False	0.0	0.0	752	829	0.0	77	concordant
ENSG00000266903.1	Brain - Putamen (basal ganglia)	Liver	ENST00000591312.1	ENST00000590796.1	6	961	ENST00000591312	ENST00000590796	-0.0728788799170958	-3.874469117916141	0.5714285714285714	1.0	7.0	3.0	-3.801590237999045	False	0.0	0.0	752	829	0.0	77	concordant
ENSG00000266903.1	Liver	Lung	ENST00000590796.1	ENST00000591312.1	6	961	ENST00000590796	ENST00000591312	-3.874469117916141	-0.0728788799170958	1.0	0.5714285714285714	3.0	7.0	3.801590237999045	False	0.0	0.0	829	752	0.0	77	concordant
ENSG00000223969.5	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	ENST00000441971.5	ENST00000412669.1	2	315	ENST00000441971	ENST00000412669	2.310182887214263	1.8895608782603204	1.0	1.0	1.0	2.0	-0.4206220089539427	False	0.0	0.0	450	449	0.0	1	concordant
ENSG00000223969.5	Brain - Cerebellar Hemisphere	Muscle - Skeletal	ENST00000441971.5	ENST00000412669.1	2	315	ENST00000441971	ENST00000412669	2.310182887214263	1.8895608782603204	1.0	1.0	1.0	2.0	-0.4206220089539427	False	0.0	0.0	450	449	0.0	1	concordant
ENSG00000223969.5	Brain - Frontal Cortex (BA9)	Heart - Left Ventricle	ENST00000441971.5	ENST00000412669.1	2	315	ENST00000441971	ENST00000412669	2.310182887214263	1.8895608782603204	1.0	1.0	1.0	2.0	-0.4206220089539427	False	0.0	0.0	450	449	0.0	1	concordant
ENSG00000223969.5	Brain - Frontal Cortex (BA9)	Muscle - Skeletal	ENST00000441971.5	ENST00000412669.1	2	315	ENST00000441971	ENST00000412669	2.310182887214263	1.8895608782603204	1.0	1.0	1.0	2.0	-0.4206220089539427	False	0.0	0.0	450	449	0.0	1	concordant
ENSG00000223969.5	Brain - Putamen (basal ganglia)	Heart - Left Ventricle	ENST00000441971.5	ENST00000412669.1	2	315	ENST00000441971	ENST00000412669	2.310182887214263	1.8895608782603204	1.0	1.0	1.0	2.0	-0.4206220089539427	False	0.0	0.0	450	449	0.0	1	concordant
ENSG00000223969.5	Brain - Putamen (basal ganglia)	Muscle - Skeletal	ENST00000441971.5	ENST00000412669.1	2	315	ENST00000441971	ENST00000412669	2.310182887214263	1.8895608782603204	1.0	1.0	1.0	2.0	-0.4206220089539427	False	0.0	0.0	450	449	0.0	1	concordant
ENSG00000223969.5	Cells - Cultured fibroblasts	Heart - Left Ventricle	ENST00000441971.5	ENST00000412669.1	2	315	ENST00000441971	ENST00000412669	2.310182887214263	1.8895608782603204	1.0	1.0	1.0	2.0	-0.4206220089539427	False	0.0	0.0	450	449	0.0	1	concordant
ENSG00000223969.5	Cells - Cultured fibroblasts	Muscle - Skeletal	ENST00000441971.5	ENST00000412669.1	2	315	ENST00000441971	ENST00000412669	2.310182887214263	1.8895608782603204	1.0	1.0	1.0	2.0	-0.4206220089539427	False	0.0	0.0	450	449	0.0	1	concordant
